league,match_time,home_team,away_team,home_score,away_score,1 X 2 - 1,1 X 2 - 2,1 X 2 - X,1H1 X 2 - 1,1H1 X 2 - 2,1H1 X 2 - X,1HHDP - +0.5,1HHDP - +0.5/1,1HHDP - +0/0.5,1HHDP - +1/1.5,1HHDP - -0.5,1HHDP - -0.5/1,1HHDP - -0/0.5,1HHDP - -1/1.5,1HHDP - 0,1HO/U - O,1HO/U - U,BTTS - No,BTTS - Yes,ET1 X 2 - 1,ET1 X 2 - 2,ET1 X 2 - X,ETBTTS - No,ETBTTS - Yes,ETHDP - 0,ETNext Goal - 1,ETNext Goal - 2,ETNext Goal - X,ETO/U - O,ETO/U - U,HDP - +0.5,HDP - +0.5/1,HDP - +0/0.5,HDP - +1,HDP - +1.5,HDP - +1.5/2,HDP - +1/1.5,HDP - +2,HDP - +2.5/3,HDP - -0.5,HDP - -0.5/1,HDP - -0/0.5,HDP - -1,HDP - -1.5,HDP - -1.5/2,HDP - -1/1.5,HDP - -2,HDP - -2.5/3,HDP - 0,Next Goal - 1,Next Goal - 2,Next Goal - X,O/E - Even,O/E - Odd,O/U - O,O/U - U,Team 1 Goals - O,Team 1 Goals - U,Team 2 Goals - O,Team 2 Goals - U
Algeria Cup,ET2H20:39,RC Kouba,IB Khemis El Khechna,1(1),0(1),,,,,,,,,,,,,,,,,,,,1.09,23.0,6.10,1.13,3.65,0.96,4.95,5.1,1.38,1.75,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina Primera C,Today 16:00,General Lamadrid,CA Atlas,0,0,1.57,4.30,3.60,2.14,4.60,2.14,,,0.86,,,,0.86,,,0.82,0.90,1.85,1.89,,,,,,,,,,,,,0.93,,,,,,,,,0.79,,,,,,,,,,,,1.94,1.96,0.61,1.12,,,,
Argentina Primera C,Today 18:00,Ituzaingo,Defensores De Cambaceres,0,0,1.91,3.55,2.91,2.61,4.40,1.85,,,0.66,,,,1.06,,,0.83,0.89,1.56,2.33,,,,,,,,,,,,0.80,,,,,,,,,0.92,,,,,,,,,,,,,1.93,1.97,0.93,0.79,,,,
Argentina Primera C,Today 18:00,Mercedes,Centro Espanol,0,0,3.45,1.92,2.96,4.00,2.72,1.88,,,0.60,,,,1.13,,,0.78,0.94,1.62,2.20,,,,,,,,,,,,,,1.06,,,,,,,,,0.66,,,,,,,,,,,1.93,1.97,0.84,0.88,,,,
Colombia Primera A - PlayOff,Today 19:30,Deportivo Pasto,Independiente Santa Fe,0,0,2.52,2.92,2.93,3.30,3.70,1.90,,,,,,,,,1.06,0.87,1.01,1.64,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,1.92,1.98,1.06,0.82,,,,
Colombia Primera A - PlayOff,Today 21:30,Millonarios,Atletico Nacional Medellin,0,0,1.83,4.40,3.30,2.44,4.85,2.07,,,0.92,,,,0.98,,,1.19,0.72,1.68,2.16,,,,,,,,,,,,1.06,,,,,,,,,0.84,,,,,,,,,,,,,1.93,1.97,1.13,0.76,,,,
Belgium Pro League U21,Today 14:30,Lokeren Temse U21,Royale Union St Gilloise U21,0,0,3.50,1.75,3.80,3.90,2.25,2.39,,,0.90,,,,0.94,,,0.96,0.86,2.40,1.53,,,,,,,,,,,,,0.83,,,,,,,,,1.01,,,,,,,,,,,,1.96,1.94,0.87,0.95,,,,
Belgium Pro League U21,Today 15:00,RWDM U21,RAAL La Louviere U21,0,0,2.31,2.29,4.00,2.73,2.72,2.59,,,,,,,,,0.90,0.94,0.88,3.35,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,,,,1.96,1.94,1.00,0.82,,,,
Belgium Pro League U21,Today 15:15,KVC Westerlo U21,Lierse Kempenzonen U21,0,0,1.94,3.00,3.70,2.39,3.55,2.39,,,0.79,,,,1.05,,,0.92,0.90,2.53,1.48,,,,,,,,,,,,,,1.14,,,,,,,,,0.71,,,,,,,,,,,1.95,1.95,0.83,0.99,,,,
Belgium Pro League U21,Today 15:30,KV Kortrijk U21,Beveren U21,0,0,2.51,2.22,3.70,3.00,2.75,2.35,,,,,,,,,0.83,0.94,0.88,2.58,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,,,,1.95,1.95,0.86,0.96,,,,
Costa Rica Liga De Ascenso - PlayOff,Today 15:00,Inter San Carlos,Cariari Pococi,0,0,1.45,4.90,3.95,2.06,5.00,2.29,0.70,,,,1.02,,,,,1.05,0.67,1.92,1.82,,,,,,,,,,,,,,,0.90,,,,,,,,,0.82,,,,,,,,,,1.94,1.96,0.87,0.85,,,,
Argentina Women Primera Division A,Today 16:00,River Plate (W),Belgrano (W),0,0,2.11,3.05,2.88,2.89,3.80,1.85,,,,,,,,,1.12,0.76,0.96,1.73,2.03,,,,,,,,,,,,,,0.84,,,,,,,,,0.88,,,,,,,,,,,1.92,1.98,1.13,0.60,,,,
EFootball - GT Sports League (2 X 6mins),1H04:26,Bayern Munich (Delpiero) Esports,Manchester City (Raul) Esports,0,1,4.05,1.68,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,0.75,,,,,,,,,,,,,0.79,0.93,,,,
EFootball - GT Sports League (2 X 6mins),1H04:26,Paris Saint Germain (Denver) Esports,Inter Milan (Seagal) Esports,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantasy Matches,Today 13:00,Schalke 04,Antalyaspor,0,0,2.21,2.49,3.75,2.73,2.99,2.39,,,,,,,,,1.01,0.89,0.93,2.72,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,1.95,1.95,0.99,0.83,,,,
Fantasy Matches,Today 13:30,Magdeburg,Brondby IF,0,0,3.40,1.66,4.55,3.50,2.06,2.89,,,1.01,,,,0.83,,,0.87,0.95,3.95,1.22,,,,,,,,,,,,,0.95,,,,,,,,,0.89,,,,,,,,,,,,1.95,1.95,0.98,0.84,,,,
Fantasy Matches,Today 15:30,St Pauli,Cagliari,0,0,2.20,2.45,3.85,2.68,2.91,2.48,,,,,,,,,1.05,0.76,1.06,2.98,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,1.95,1.95,0.86,0.96,,,,
Fantasy Matches,Today 16:00,Brighton And Hove Albion,Mallorca,0,0,1.34,5.50,5.10,1.80,4.85,2.79,1.03,,,,0.81,,,,,0.83,0.99,2.72,1.42,,,,,,,,,,,,,,,,0.89,,,,,,,,,0.95,,,,,,,,,1.95,1.95,0.88,0.94,,,,
Fantasy Matches,Today 16:00,Southampton,Valencia,0,0,2.26,3.35,2.66,3.25,4.45,1.71,,,,,,,,,1.25,0.81,1.01,1.38,2.91,,,,,,,,,,,,,,0.86,,,,,,,,,0.98,,,,,,,,,,,1.89,2.01,0.88,0.94,,,,
Fantasy Matches,Today 16:15,Farense,San Lorenzo Almagro,0,0,2.40,2.55,3.20,3.10,3.25,2.04,,,,,,,,,0.97,1.04,0.78,1.86,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,1.94,1.96,0.89,0.93,,,,
Fantasy Matches,Today 19:30,Deportivo Pasto,River Plate,0,0,2.84,2.21,3.15,3.50,2.89,2.04,,,,,,,,,0.73,1.05,0.77,1.79,1.96,,,,,,,,,,,,,,0.83,,,,,,,,,1.01,,,,,,,,,,,1.93,1.97,0.97,0.85,,,,
