league,match_time,home_team,away_team,home_score,away_score,1 X 2 - 1,1 X 2 - 2,1 X 2 - X,1H1 X 2 - 1,1H1 X 2 - 2,1H1 X 2 - X,1HHDP - +0.5,1HHDP - +0.5/1,1HHDP - +0/0.5,1HHDP - +1/1.5,1HHDP - -0.5,1HHDP - -0.5/1,1HHDP - -0/0.5,1HHDP - -1/1.5,1HHDP - 0,1HO/U - O,1HO/U - U,BTTS - No,BTTS - Yes,ET1 X 2 - 1,ET1 X 2 - 2,ET1 X 2 - X,ETBTTS - No,ETBTTS - Yes,ETHDP - 0,ETNext Goal - 1,ETNext Goal - 2,ETNext Goal - X,ETO/U - O,ETO/U - U,HDP - +0.5,HDP - +0.5/1,HDP - +0/0.5,HDP - +1,HDP - +1.5,HDP - +1.5/2,HDP - +1/1.5,HDP - +2,HDP - +2.5/3,HDP - -0.5,HDP - -0.5/1,HDP - -0/0.5,HDP - -1,HDP - -1.5,HDP - -1.5/2,HDP - -1/1.5,HDP - -2,HDP - -2.5/3,HDP - 0,Next Goal - 1,Next Goal - 2,Next Goal - X,O/E - Even,O/E - Odd,O/U - O,O/U - U,Team 1 Goals - O,Team 1 Goals - U,Team 2 Goals - O,Team 2 Goals - U
Switzerland Challenge League,Today 14:30,Stade Lausanne Ouchy,Neuchatel Xamax,0,0,1.90,3.30,3.70,2.35,3.80,2.33,,,0.87,,,,1.03,,,1.01,0.87,2.35,1.55,,,,,,,,,,,,1.00,,,,,,,,,0.90,,,,,,,,,,,,,1.96,1.94,1.00,0.88,,,,
Switzerland Challenge League,Today 15:15,Vaduz,Schaffhausen,0,0,2.06,2.96,3.60,2.54,3.50,2.28,,,0.75,,,,1.17,,,1.08,0.80,2.31,1.57,,,,,,,,,,,,0.83,,,,,,,,,1.07,,,,,,,,,,,,,1.95,1.95,0.83,1.05,,,,
Denmark 1st Division,Today 14:00,Kolding IF,AC Horsens,0,0,2.37,2.94,3.15,3.15,3.70,1.96,,,,,,,,,1.12,0.74,1.16,1.90,1.88,,,,,,,,,,,,,,0.79,,,,,,,,,1.13,,,,,,,,,,,1.93,1.97,0.97,0.91,,,,
Denmark 1st Division,Today 14:00,Hvidovre IF,Hobro IK,0,0,2.26,2.90,3.40,2.80,3.55,2.17,,,,,,,,,1.20,0.89,0.99,2.08,1.73,,,,,,,,,,,,,,0.91,,,,,,,,,1.00,,,,,,,,,,,1.94,1.96,0.94,0.94,,,,
Germany 3rd Liga,Today 14:00,Arminia Bielefeld,Ingolstadt 04,0,0,2.14,2.87,3.55,2.59,3.40,2.28,,,0.72,,,,1.21,,,1.11,0.78,2.28,1.58,,,,,,,,,,,,0.76,,,,,,,,,1.16,,,,,,,,,,,,,1.92,1.98,0.86,1.02,,,,
Argentina Liga Profesional,Today 18:00,San Lorenzo Almagro,Belgrano,0,0,2.16,3.75,2.85,2.89,4.45,1.89,,,0.67,,,,1.29,,,0.98,0.91,1.58,2.34,,,,,,,,,,,,,,1.06,,,,,,,,,0.85,,,,,,,,,,,1.90,2.00,0.86,1.03,,,,
Argentina Liga Profesional,Today 20:00,Estudiantes La Plata,River Plate,0,0,3.40,2.20,3.05,4.05,2.86,1.99,,,0.66,,,,1.31,,,0.79,1.11,1.75,2.04,,,,,,,,,,,,,,0.98,,,,,,,,,0.93,,,,,,,,,,,1.92,1.98,0.85,1.04,,,,
Argentina Liga Profesional - Specials,Today 18:00,Home Team - Friday - 2 Games,Away Team - Friday - 2 Games,0,0,2.23,2.37,4.35,2.60,2.68,2.76,,,,,,,,,0.97,0.94,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,1.95,1.95,0.85,1.03,,,,
Germany Regionalliga Bavaria,Today 14:00,Schweinfurt 05,SpVgg Bayreuth,0,0,2.02,3.10,3.30,2.57,3.75,2.15,,,0.73,,,,1.14,,,0.77,1.07,2.21,1.62,,,,,,,,,,,,0.83,,,,,,,,,1.03,,,,,,,,,,,,,1.94,1.96,0.98,0.86,,,,
Germany Regionalliga Bavaria,Today 14:00,Augsburg Am,SV Wacker Burghausen,0,0,2.07,2.78,3.60,2.54,3.35,2.34,,,0.72,,,,1.16,,,0.98,0.86,2.49,1.50,,,,,,,,,,,,,,1.00,,,,,,,,,0.86,,,,,,,,,,,1.95,1.95,0.92,0.92,,,,
Australia A League Women,Today 23:15,Melbourne City (W),Western Sydney Wanderers (W),0,0,1.26,8.00,5.40,1.75,6.30,2.56,,0.88,,,,1.02,,,,0.85,1.03,1.92,1.85,,,,,,,,,,,,,,,,,0.85,,,,,,,,,1.05,,,,,,,,1.96,1.94,0.97,0.91,,,,
Belgium Challenger Pro League,Today 15:00,Lommel,Lokeren Temse,0,0,1.70,4.15,3.70,2.28,4.45,2.19,,,1.00,,,,0.88,,,0.79,1.07,1.97,1.78,,,,,,,,,,,,,0.97,,,,,,,,,0.91,,,,,,,,,,,,1.94,1.96,1.03,0.83,,,,
Belgium Challenger Pro League,Today 15:00,Jong Genk,SV Zulte Waregem,0,0,4.95,1.49,4.40,4.55,2.06,2.41,0.81,,,,1.07,,,,,0.90,0.96,2.28,1.58,,,,,,,,,,,,,,,0.97,,,,,,,,,0.91,,,,,,,,,,1.95,1.95,0.79,1.07,,,,
Bulgaria First Professional Football League,2H48:12,Septemvri Sofia,PFC Cherno More Varna,0,2,18.0,1.01,13.0,,,,,,,,,,,,,,,1.37,2.66,,,,,,,,,,,,,,1.02,,,,,,,,,0.84,,,,,,,,3.90,2.02,2.72,1.75,2.12,0.89,0.95,1.69,0.38,0.76,1.03
Germany Regionalliga North,Today 14:00,Kickers Emden,VfB Oldenburg,0,0,2.21,2.61,3.50,2.81,3.20,2.23,,,,,,,,,1.02,0.68,1.11,2.25,1.60,,,,,,,,,,,,,,0.78,,,,,,,,,1.00,,,,,,,,,,,1.94,1.96,0.90,0.88,,,,
Germany Regionalliga North,Today 14:30,SV Meppen,Blau Weiss Lohne,0,0,1.55,4.60,3.85,2.23,4.50,2.23,,,0.98,,,,0.80,,,0.65,1.14,1.92,1.82,,,,,,,,,,,,,,,0.71,,,,,,,,,1.07,,,,,,,,,,1.94,1.96,0.98,0.80,,,,
Germany Regionalliga Northeast,Today 14:00,SV Babelsberg 03,ZFC Meuselwitz,0,0,1.94,3.25,3.40,2.47,3.90,2.18,,,0.79,,,,1.07,,,0.82,1.02,2.04,1.73,,,,,,,,,,,,0.91,,,,,,,,,0.95,,,,,,,,,,,,,1.93,1.97,0.85,0.99,,,,
Germany Regionalliga Northeast,Today 14:00,FSV Zwickau,BFC Dynamo,0,0,3.25,1.94,3.40,3.90,2.47,2.18,,,0.79,,,,1.07,,,0.82,1.02,2.04,1.73,,,,,,,,,,,,0.91,,,,,,,,,0.95,,,,,,,,,,,,,1.94,1.96,0.85,0.99,,,,
Germany Regionalliga Northeast,Today 14:00,VSG Altglienicke,FSV 63 Luckenwalde,0,0,1.39,5.80,4.40,1.95,5.30,2.37,0.90,,,,0.96,,,,,1.01,0.83,1.92,1.82,,,,,,,,,,,,,,,,,,0.90,,,,,,,,,0.96,,,,,,,1.94,1.96,0.81,1.03,,,,
Poland 1 Liga,Today 13:00,Znicz Pruszkow,Polonia Warszawa,0,0,2.48,2.58,3.25,3.05,3.15,2.10,,,,,,,,,0.97,0.96,0.88,2.02,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,1.93,1.97,0.76,1.08,,,,
Poland 1 Liga,Today 15:30,Ruch Chorzow,Odra Opole,0,0,1.62,4.55,3.80,2.25,4.70,2.16,,,1.01,,,,0.85,,,0.83,1.01,1.86,1.88,,,,,,,,,,,,,1.00,,,,,,,,,0.86,,,,,,,,,,,,1.94,1.96,0.96,0.88,,,,
Portugal Liga 2,Today 14:00,Academico Viseu,Leixoes,0,0,2.39,2.97,2.89,3.20,3.80,1.83,,,,,,,,,1.12,0.86,1.02,1.76,1.99,,,,,,,,,,,,,,0.79,,,,,,,,,1.12,,,,,,,,,,,1.91,1.99,0.89,0.99,,,,
UEFA Women Euro 2025 Qualifiers - PlayOff,Today 13:00,Poland (W),Austria (W),0,0,4.30,1.55,3.65,4.45,2.19,2.13,,,1.03,,,,0.81,,,0.78,1.04,1.89,1.85,,,,,,,,,,,,,1.02,,,,,,,,,0.82,,,,,,,,,,,,1.94,1.96,0.84,0.98,,,,
UEFA Women Euro 2025 Qualifiers - PlayOff,Today 13:00,Ukraine (W),Belgium (W),0,0,4.80,1.48,3.75,5.00,2.11,2.10,0.73,,,,1.12,,,,,0.85,0.97,1.73,2.03,,,,,,,,,,,,,,,0.88,,,,,,,,,0.96,,,,,,,,,,1.94,1.96,0.95,0.87,,,,
UEFA Women Euro 2025 Qualifiers - PlayOff,Today 15:00,Northern Ireland (W),Norway (W),0,0,17.0,1.02,9.20,13.0,1.27,3.50,,,,0.89,,,,0.95,,0.93,0.89,1.32,3.20,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,0.82,,,,,1.97,1.93,0.86,0.96,,,,
UEFA Women Euro 2025 Qualifiers - PlayOff,Today 15:15,Wales (W),Republic Of Ireland (W),0,0,2.79,2.17,3.00,3.50,2.88,1.94,,,,,,,,,0.68,1.07,0.75,1.90,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,1.93,1.97,0.88,0.94,,,,
UEFA Women Euro 2025 Qualifiers - PlayOff,Today 15:35,Scotland (W),Finland (W),0,0,1.95,3.10,3.15,2.55,3.75,2.03,,,0.71,,,,1.14,,,1.01,0.81,1.87,1.87,,,,,,,,,,,,0.81,,,,,,,,,1.03,,,,,,,,,,,,,1.91,1.99,0.85,0.97,,,,
UEFA Women Euro 2025 Qualifiers - PlayOff,Today 15:45,Portugal (W),Czech Republic (W),0,0,1.39,5.20,4.15,1.98,4.95,2.26,0.85,,,,0.99,,,,,1.02,0.80,1.92,1.82,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,1.07,,,,,,,1.95,1.95,0.83,0.99,,,,
English National League South,Today 16:00,Aveley,Welling United,0,0,2.31,2.83,2.99,3.05,3.50,1.98,,,,,,,,,1.06,0.61,1.26,1.92,1.82,,,,,,,,,,,,,,0.78,,,,,,,,,1.06,,,,,,,,,,,1.94,1.96,0.77,1.05,,,,
Turkey TFF First League,Today 13:00,Kocaelispor,Adanaspor,0,0,1.29,8.40,4.85,1.85,7.00,2.28,1.07,,,,0.81,,,,,0.80,1.06,1.56,2.33,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,0.74,,,,,,,1.94,1.96,0.85,1.01,,,,
Russia First League,Today 13:00,Baltika Kaliningrad,Alania Vladikavkaz,0,0,1.39,7.50,4.05,2.04,7.30,2.03,0.83,,,,1.05,,,,,0.75,1.12,1.42,2.73,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,1.05,,,,,,,1.93,1.97,1.04,0.82,,,,
Serbia Superliga,1H34:20,Cukaricki Belgrade,Spartak Subotica,1,1,1.83,5.00,2.67,4.05,8.30,1.32,,,0.42,,,,1.72,,,1.72,0.40,,,,,,,,,,,,,,1.00,,,,,,,,,0.84,,,,,,,,,,1.67,3.50,4.20,,,0.87,0.95,,,,
Serbia Superliga,Today 13:30,Tekstilac Odzaci,OFK Beograd,0,0,3.20,2.06,3.10,4.00,2.73,1.98,,,0.67,,,,1.20,,,0.70,1.13,1.73,2.03,,,,,,,,,,,,,,1.03,,,,,,,,,0.81,,,,,,,,,,,1.93,1.97,1.01,0.81,,,,
Slovenia Prvaliga,Today 12:30,NK Domzale,NK Bravo,0,0,4.05,1.77,3.25,4.85,2.40,2.01,,,0.91,,,,0.93,,,0.68,1.16,1.65,2.16,,,,,,,,,,,,1.06,,,,,,,,,0.78,,,,,,,,,,,,,1.94,1.96,0.97,0.85,,,,
Bahrain Division 2,1H04:20,Ittifaq Maqaba,Al Hala,0,0,4.65,1.55,3.45,5.10,2.20,2.01,,,0.92,,,,0.80,,,0.66,1.06,1.60,2.15,,,,,,,,,,,,,0.94,,,,,,,,,0.78,,,,,,,,,3.10,1.51,7.4,,,0.87,0.85,,,,
Bahrain Division 2,1H04:28,Galali Bahrain,Buri,0,0,4.35,1.62,3.30,5.00,2.26,1.96,,,0.88,,,,0.84,,,0.70,1.02,1.61,2.13,,,,,,,,,,,,,0.89,,,,,,,,,0.83,,,,,,,,,3.05,1.53,7.3,,,0.90,0.82,,,,
Italy Serie C,Today 15:30,Feralpisalo,Alcione Milano,0,0,1.30,8.10,4.45,1.88,7.30,2.21,0.95,,,,0.89,,,,,0.92,0.90,1.47,2.55,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,0.86,,,,,,,1.95,1.95,0.77,1.05,,,,
Italy Serie C,Today 15:30,Pineto,Pianese,0,0,3.10,2.08,2.90,3.80,2.80,1.89,,,,,,,,,0.59,0.69,1.03,,,,,,,,,,,,,,,,0.87,,,,,,,,,0.85,,,,,,,,,,,,,0.99,0.73,,,,
Croatia HNL League,Today 13:00,NK Varazdin,HNK Sibenik,0,0,1.54,5.30,3.55,2.29,5.30,2.02,,,1.03,,,,0.81,,,0.71,1.12,1.54,2.39,,,,,,,,,,,,,1.07,,,,,,,,,0.77,,,,,,,,,,,,1.94,1.96,1.06,0.76,,,,
English Premier League 2 U21,HT,Everton U21,Nottingham Forest U21,0,2,19.0,1.04,9.70,,,,,,,,,,,,,,,2.11,1.63,,,,,,,,,,,,,,0.81,,,,,,,,,1.05,,,,,,,,2.41,1.99,4.90,1.88,1.98,0.98,0.86,1.01,0.78,0.70,1.09
English Premier League 2 U21,Today 15:00,Derby County U21,Chelsea U21,0,0,3.65,1.66,4.50,3.75,2.09,2.68,,,1.07,,,,0.79,,,0.84,1.00,3.30,1.30,,,,,,,,,,,,,,,0.76,,,,,,,,,1.11,,,,,,,,,,1.95,1.95,0.84,1.00,,,,
English Premier League 2 U21,Today 15:00,Fulham U21,Leeds United U21,0,0,1.30,6.50,5.60,1.73,5.20,2.86,,0.86,,,,1.00,,,,0.68,1.19,2.79,1.41,,,,,,,,,,,,,,,,1.04,,,,,,,,,0.82,,,,,,,,,1.98,1.92,0.87,0.97,,,,
English Premier League 2 U21,Today 15:00,Newcastle United U21,Crystal Palace U21,0,0,2.23,2.44,4.15,2.60,2.84,2.61,,,,,,,,,1.02,0.87,0.97,3.45,1.28,,,,,,,,,,,,,,0.80,,,,,,,,,1.06,,,,,,,,,,,1.97,1.93,0.74,1.11,,,,
English Premier League 2 U21,Today 15:00,Manchester United U21,West Ham United U21,0,0,2.15,2.51,4.25,2.54,2.84,2.68,,,,,,,,,1.04,0.83,1.01,3.85,1.24,,,,,,,,,,,,,,0.85,,,,,,,,,1.01,,,,,,,,,,,1.95,1.95,0.83,1.01,,,,
Hungary NB I,Today 15:00,Nyiregyhaza Spartacus,Paksi SE,0,0,2.80,2.13,3.65,3.30,2.63,2.29,,,,,,,,,0.72,1.05,0.79,2.38,1.54,,,,,,,,,,,,,,0.94,,,,,,,,,0.92,,,,,,,,,,,1.95,1.95,1.03,0.81,,,,
Jordan Pro League,Today 12:45,Moghayer Al Sarhan,Al Salt,0,0,3.00,2.11,3.20,3.75,2.75,2.03,,,0.65,,,,1.23,,,1.07,0.75,1.83,1.91,,,,,,,,,,,,,,0.97,,,,,,,,,0.87,,,,,,,,,,,1.94,1.96,0.89,0.93,,,,
Poland 2 Liga,2H48:15,Skra Czestochowa,LKS Lodz II,0,1,7.40,1.39,3.75,,,,,,,,,,,,,,,1.96,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,2.33,2.55,3.35,2.04,1.82,0.94,0.90,0.82,0.97,0.95,0.84
Morocco Botola 2,Today 13:00,CA Youssoufia Berrechid,Olympique Dcheira,0,0,4.70,1.62,3.10,5.40,2.28,1.89,,,0.98,,,,0.86,,,0.85,0.97,1.47,2.58,,,,,,,,,,,,,0.97,,,,,,,,,0.87,,,,,,,,,,,,1.92,1.98,0.97,0.85,,,,
Belgium Women First Division,Today 15:30,RUS Loyers (W),DV Famkes Merkem (W),0,0,1.66,3.45,3.85,2.11,3.75,2.43,,,0.91,,,,0.81,,,0.77,0.95,2.59,1.45,,,,,,,,,,,,,0.86,,,,,,,,,0.86,,,,,,,,,,,,1.96,1.94,0.86,0.86,,,,
Qatar Division 2,2H46:20,Lusail,Al Waab,3,0,,,,,,,,,,,,,,,,,,1.71,2.04,,,,,,,,,,,,,,1.01,,,,,,,,,0.83,,,,,,,,1.90,2.99,3.85,2.01,1.85,1.03,0.79,0.75,1.02,1.05,0.72
Qatar Division 2,2H46:30,Al Sailiya,Al Bidda,0,0,2.23,3.85,2.43,,,,,,,,,,,,,,,1.23,3.60,,,,,,,,,,,,,,0.95,,,,,,,,,0.89,,,,,,,,1.96,3.00,3.60,1.83,2.03,0.85,0.97,0.88,0.89,1.13,0.65
Bosnia And Herzegovina Premier League,Today 13:00,Sarajevo,HSK Zrinjski Mostar,0,0,2.08,3.10,3.15,2.74,3.90,2.01,,,0.65,,,,1.23,,,1.13,0.70,1.78,1.97,,,,,,,,,,,,,,1.00,,,,,,,,,0.84,,,,,,,,,,,1.93,1.97,0.96,0.86,,,,
Bosnia And Herzegovina Premier League,Today 15:15,Velez Mostar,FK Radnik Bijeljina,0,0,1.56,5.20,3.50,2.23,5.20,2.08,,,1.02,,,,0.82,,,1.06,0.76,1.69,2.10,,,,,,,,,,,,,1.03,,,,,,,,,0.81,,,,,,,,,,,,1.93,1.97,0.90,0.92,,,,
Spain Primera Federacion,Today 15:30,Fuenlabrada,Betis Deportivo,0,0,2.78,2.42,2.89,3.60,3.25,1.87,,,,,,,,,0.82,0.78,1.04,1.74,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,1.92,1.98,0.78,1.04,,,,
Cyprus Division 2,Today 13:00,Peyia,ENY Digenis Ypsonas,0,0,3.80,1.78,3.40,4.45,2.36,2.12,,,0.87,,,,0.97,,,0.96,0.86,1.84,1.90,,,,,,,,,,,,,0.81,,,,,,,,,1.03,,,,,,,,,,,,1.94,1.96,1.00,0.82,,,,
Malta Premier League,Today 13:00,Birkirkara,Mosta,0,0,1.67,3.95,3.35,2.24,4.50,2.07,,,0.87,,,,0.85,,,0.93,0.79,1.79,1.96,,,,,,,,,,,,,0.83,,,,,,,,,0.89,,,,,,,,,,,,1.95,1.95,0.97,0.75,,,,
Malta Premier League,Today 15:30,Sliema Wanderers,Hamrun Spartans,0,0,2.34,2.67,2.88,3.15,3.50,1.84,,,,,,,,,0.96,0.83,0.89,1.62,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,1.93,1.97,0.93,0.79,,,,
English Northern League Division One West,Today 15:45,Atherton Collieries,Vauxhall Motors,0,0,3.85,1.59,3.85,4.05,2.08,2.36,,,0.95,,,,0.77,,,0.88,0.84,2.27,1.59,,,,,,,,,,,,,0.91,,,,,,,,,0.81,,,,,,,,,,,,1.95,1.95,0.88,0.84,,,,
Ireland Leinster Senior League Senior Division,Today 15:30,Kilbarrack United,St Francis,0,0,1.56,3.85,3.95,2.07,4.05,2.39,,,0.96,,,,0.76,,,0.83,0.89,,,,,,,,,,,,,,,,,0.63,,,,,,,,,1.09,,,,,,,,,,1.95,1.95,0.96,0.76,,,,
Ireland Leinster Senior League Senior Division,Today 15:45,Malahide United,Maynooth University Town,0,0,1.95,2.74,3.70,2.38,3.20,2.40,,,0.69,,,,1.03,,,0.75,0.97,2.80,1.40,,,,,,,,,,,,0.76,,,,,,,,,0.96,,,,,,,,,,,,,1.96,1.94,0.83,0.89,,,,
Morocco Botola Pro,Today 13:00,UTS Rabat,Ittihad Tanger,0,0,2.16,3.20,2.89,2.90,4.10,1.89,,,,,,,,,1.28,0.87,0.95,1.61,2.22,,,,,,,,,,,,,,0.95,,,,,,,,,0.89,,,,,,,,,,,1.92,1.98,0.98,0.84,,,,
Morocco Botola Pro,Today 15:00,Wydad Casablanca,OCS Olympique De Safi,0,0,1.56,5.10,3.50,2.26,5.50,2.01,,,1.01,,,,0.83,,,0.74,1.08,1.56,2.33,,,,,,,,,,,,,1.03,,,,,,,,,0.81,,,,,,,,,,,,1.93,1.97,1.03,0.79,,,,
South Africa Premiership,Today 13:30,Supersport United,Marumo Gallants,0,0,1.76,4.50,3.05,2.45,5.40,1.89,,,0.86,,,,0.98,,,0.91,0.91,1.47,2.57,,,,,,,,,,,,,0.81,,,,,,,,,1.03,,,,,,,,,,,,1.92,1.98,1.04,0.78,,,,
Spain Tercera Federacion,Today 15:30,Beti Kozkor KE,Bidezarra,0,0,2.36,2.51,3.05,3.05,3.20,1.95,,,,,,,,,0.91,0.65,1.07,1.80,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,1.93,1.97,0.91,0.81,,,,
Spain Tercera Federacion,Today 17:00,CD Buzanada,Arcangel San Miguel,0,0,2.19,2.74,3.05,2.91,3.45,1.93,,,,,,,,,1.02,0.68,1.04,1.76,1.99,,,,,,,,,,,,,,0.75,,,,,,,,,0.97,,,,,,,,,,,1.94,1.96,0.96,0.76,,,,
Spain Tercera Federacion,Today 17:00,UD Villa De Santa Brigida,Arucas,0,0,2.08,2.89,3.10,2.78,3.60,1.96,,,,,,,,,1.09,0.65,1.07,1.78,1.96,,,,,,,,,,,,,,0.85,,,,,,,,,0.87,,,,,,,,,,,1.93,1.97,0.91,0.81,,,,
