league,match_time,home_team,away_team,home_score,away_score,home_corners,away_corners,SPREAD_FT_+0.5/1_AwayOdds,SPREAD_FT_+0.5_AwayOdds,SPREAD_FT_+0/0.5_AwayOdds,SPREAD_FT_+1/1.5_HomeOdds,SPREAD_FT_+1_AwayOdds,SPREAD_FT_+1_HomeOdds,SPREAD_FT_-0.5/1_HomeOdds,SPREAD_FT_-0.5_HomeOdds,SPREAD_FT_-0/0.5_HomeOdds,SPREAD_FT_-1/1.5_AwayOdds,SPREAD_FT_-1_AwayOdds,SPREAD_FT_-1_HomeOdds,SPREAD_FT_0_AwayOdds,SPREAD_FT_0_HomeOdds,TOTAL_POINTS_FT_1.5/2_OverOdds,TOTAL_POINTS_FT_1.5/2_UnderOdds,TOTAL_POINTS_FT_1.5_OverOdds,TOTAL_POINTS_FT_1.5_UnderOdds,TOTAL_POINTS_FT_2.5/3_OverOdds,TOTAL_POINTS_FT_2.5/3_UnderOdds,TOTAL_POINTS_FT_2.5_OverOdds,TOTAL_POINTS_FT_2.5_UnderOdds,TOTAL_POINTS_FT_2/2.5_OverOdds,TOTAL_POINTS_FT_2/2.5_UnderOdds,TOTAL_POINTS_FT_4.5_OverOdds,TOTAL_POINTS_FT_4.5_UnderOdds,TOTAL_POINTS_FT_4/4.5_OverOdds,TOTAL_POINTS_FT_4/4.5_UnderOdds
CONCACAF Nations League A - PlayOff,2H74:28,Costa Rica,Panama,0,1,,,,,0.38,,,,,,2.08,,,,1.33,0.65,0.29,2.43,0.52,1.56,,,,,,,,,,
Mexico Liga MX Women - PlayOff,1H35:39,Club America (W),Tigres UANL (W),0,1,,,1.07,,,,0.72,,0.77,,,,,1.13,,,,,,,0.98,0.84,1.23,0.63,,,,,,
World Cup 2026 Oceania Qualifiers,1H35:55,Samoa,Tahiti,0,0,,,,,,0.79,,1.09,,,,1.05,0.75,,,,,,,,,,0.67,1.17,0.89,0.93,,,,
Mexico Liga Expansion MX - PlayOff,HT,Leones Negros,CD Tapatio,1,2,,,,0.87,1.28,,,,,1.03,0.68,,,,,,,,,,,,,,,,0.67,1.26,0.97,0.91
*LEAGUE*,Unknown Time,Unknown,Unknown,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
